time,latitude,longitude,speed,direction,date,magnetic declination,status,facing,facing2,sys_timestamp
071849.70,3106.79428342,10345.46865736,0.003,23.7,090925,2.0,A,North,East,1757402329.2785976
071849.80,3106.79428335,10345.46865749,0.003,28.7,090925,2.0,A,North,East,1757402329.4726672
071849.90,3106.79428331,10345.46865762,0.004,45.7,090925,2.0,A,North,East,1757402329.474117
071850.00,3106.79428329,10345.46865774,0.004,78.0,090925,2.0,A,North,East,1757402329.5645142
071850.10,3106.79428323,10345.46865783,0.002,80.2,090925,2.0,A,North,East,1757402329.6629725
071850.20,3106.79428320,10345.46865791,0.002,51.0,090925,2.0,A,North,East,1757402329.7728078
071850.30,3106.79428319,10345.46865801,0.004,78.8,090925,2.0,A,North,East,1757402329.8683627
071850.40,3106.79428320,10345.46865809,0.004,76.4,090925,2.0,A,North,East,1757402329.9741783
071850.50,3106.79428321,10345.46865818,0.005,90.3,090925,2.0,A,North,East,1757402330.07403
071850.60,3106.79428323,10345.46865826,0.004,85.5,090925,2.0,A,North,East,1757402330.173979
071850.70,3106.79428327,10345.46865831,0.003,75.1,090925,2.0,A,North,East,1757402330.2658434
071850.80,3106.79428332,10345.46865836,0.004,73.5,090925,2.0,A,North,East,1757402330.3809555
071850.90,3106.79428334,10345.46865842,0.004,80.1,090925,2.0,A,North,East,1757402330.4757917
071851.00,3106.79428336,10345.46865852,0.004,73.7,090925,2.0,A,North,East,1757402330.5696642
071851.10,3106.79428336,10345.46865862,0.003,66.4,090925,2.0,A,North,East,1757402330.6980662
071851.20,3106.79428334,10345.46865870,0.002,62.1,090925,2.0,A,North,East,1757402330.7685075
071851.30,3106.79428333,10345.46865880,0.003,72.7,090925,2.0,A,North,East,1757402330.869587
071851.40,3106.79428329,10345.46865892,0.004,96.9,090925,2.0,A,North,East,1757402330.9667418
071851.50,3106.79428325,10345.46865906,0.004,85.9,090925,2.0,A,North,East,1757402331.0724435
071851.60,3106.79428321,10345.46865915,0.004,75.8,090925,2.0,A,North,East,1757402331.189175
071851.70,3106.79428319,10345.46865926,0.003,69.1,090925,2.0,A,North,East,1757402331.2789502
071851.80,3106.79428320,10345.46865934,0.002,52.8,090925,2.0,A,North,East,1757402331.362929
071851.90,3106.79428318,10345.46865941,0.003,90.0,090925,2.0,A,North,East,1757402331.4720259
071852.00,3106.79428315,10345.46865948,0.003,87.7,090925,2.0,A,North,East,1757402331.563978
071852.10,3106.79428313,10345.46865955,0.003,87.9,090925,2.0,A,North,East,1757402331.6670306
071852.20,3106.79428312,10345.46865958,0.002,51.6,090925,2.0,A,North,East,1757402331.7711458
071852.30,3106.79428312,10345.46865965,0.002,45.2,090925,2.0,A,North,East,1757402331.8711703
071852.40,3106.79428311,10345.46865971,0.001,96.1,090925,2.0,A,North,East,1757402331.9654553
071852.50,3106.79428312,10345.46865971,0.001,112.1,090925,2.0,A,North,East,1757402332.0760145
071852.60,3106.79428313,10345.46865973,0.002,115.5,090925,2.0,A,North,East,1757402332.1706946
071852.70,3106.79428313,10345.46865974,0.000,26.7,090925,2.0,A,North,East,1757402332.2724767
071852.80,3106.79428313,10345.46865974,0.002,324.5,090925,2.0,A,North,East,1757402332.3639565
071852.90,3106.79428316,10345.46865973,0.001,338.9,090925,2.0,A,North,East,1757402332.4747655
071853.00,3106.79428320,10345.46865970,0.000,256.9,090925,2.0,A,North,East,1757402332.568473
071853.10,3106.79428327,10345.46865966,0.001,312.6,090925,2.0,A,North,East,1757402332.6673927
071853.20,3106.79428332,10345.46865964,0.001,61.8,090925,2.0,A,North,East,1757402332.7710524
071853.30,3106.79428337,10345.46865963,0.001,40.2,090925,2.0,A,North,East,1757402332.8699467
071853.40,3106.79428348,10345.46865954,0.001,336.6,090925,2.0,A,North,East,1757402332.9733326
071853.50,3106.79428355,10345.46865950,0.000,352.2,090925,2.0,A,North,East,1757402333.0710418
071853.60,3106.79428362,10345.46865946,0.001,23.4,090925,2.0,A,North,East,1757402333.1750584
071853.70,3106.79428370,10345.46865942,0.001,94.6,090925,2.0,A,North,East,1757402333.274021
071853.80,3106.79428378,10345.46865937,0.001,115.7,090925,2.0,A,North,East,1757402333.3678763
071853.90,3106.79428386,10345.46865932,0.001,112.6,090925,2.0,A,North,East,1757402333.466833
071854.00,3106.79428392,10345.46865929,0.001,125.0,090925,2.0,A,North,East,1757402333.5686336
071854.10,3106.79428394,10345.46865929,0.002,133.1,090925,2.0,A,North,East,1757402333.6713316
071854.20,3106.79428396,10345.46865930,0.002,108.0,090925,2.0,A,North,East,1757402333.7680526
071854.30,3106.79428396,10345.46865932,0.002,105.0,090925,2.0,A,North,East,1757402333.872983
071854.40,3106.79428399,10345.46865933,0.001,91.8,090925,2.0,A,North,East,1757402333.9742994
071854.50,3106.79428401,10345.46865929,0.001,180.2,090925,2.0,A,North,East,1757402334.0710354
071854.60,3106.79428404,10345.46865926,0.001,177.7,090925,2.0,A,North,East,1757402334.1695619
071854.70,3106.79428406,10345.46865921,0.001,189.4,090925,2.0,A,North,East,1757402334.2690086
071854.80,3106.79428409,10345.46865920,0.001,160.1,090925,2.0,A,North,East,1757402334.3706722
071854.90,3106.79428414,10345.46865917,0.001,173.7,090925,2.0,A,North,East,1757402334.4671798
071855.00,3106.79428420,10345.46865912,0.001,224.4,090925,2.0,A,North,East,1757402334.564453
071855.10,3106.79428423,10345.46865907,0.001,215.1,090925,2.0,A,North,East,1757402334.6628404
071855.20,3106.79428430,10345.46865901,0.001,237.5,090925,2.0,A,North,East,1757402334.7773254
071855.30,3106.79428433,10345.46865898,0.001,195.5,090925,2.0,A,North,East,1757402334.8675401
071855.40,3106.79428437,10345.46865895,0.000,150.1,090925,2.0,A,North,East,1757402334.9646945
071855.50,3106.79428444,10345.46865890,0.001,257.9,090925,2.0,A,North,East,1757402335.062832
071855.60,3106.79428452,10345.46865882,0.002,277.7,090925,2.0,A,North,East,1757402335.1650712
071855.70,3106.79428458,10345.46865876,0.001,205.9,090925,2.0,A,North,East,1757402335.266557
071855.80,3106.79428466,10345.46865871,0.001,199.6,090925,2.0,A,North,East,1757402335.3659596
071855.90,3106.79428475,10345.46865864,0.002,177.8,090925,2.0,A,North,East,1757402335.4649742
071856.00,3106.79428485,10345.46865860,0.002,116.8,090925,2.0,A,North,East,1757402335.5769217
071856.10,3106.79428499,10345.46865854,0.001,74.2,090925,2.0,A,North,East,1757402335.6745992
071856.20,3106.79428499,10345.46865840,0.001,108.3,090925,2.0,A,North,East,1757402335.7733052
071856.30,3106.79428484,10345.46865769,0.001,96.5,090925,2.0,A,North,East,1757402335.8729486
071856.40,3106.79428547,10345.46865637,0.000,85.8,090925,2.0,A,North,East,1757402335.9749563
071856.50,3106.79428610,10345.46865507,0.000,286.1,090925,2.0,A,North,East,1757402336.0763752
071856.60,3106.79428671,10345.46865378,0.001,265.6,090925,2.0,A,North,East,1757402336.1727896
071856.70,3106.79428732,10345.46865252,0.000,130.6,090925,2.0,A,North,East,1757402336.2722926
071856.80,3106.79428791,10345.46865129,0.001,97.5,090925,2.0,A,North,East,1757402336.374131
071856.90,3106.79428850,10345.46865009,0.001,64.1,090925,2.0,A,North,East,1757402336.4651005
071857.00,3106.79428910,10345.46864889,0.001,17.3,090925,2.0,A,North,East,1757402336.5732722
071857.10,3106.79428967,10345.46864771,0.001,3.4,090925,2.0,A,North,East,1757402336.6725261
071857.20,3106.79429023,10345.46864656,0.001,13.9,090925,2.0,A,North,East,1757402336.7740571
071857.30,3106.79429080,10345.46864543,0.002,27.5,090925,2.0,A,North,East,1757402336.869296
071857.40,3106.79429137,10345.46864430,0.002,25.0,090925,2.0,A,North,East,1757402336.9716797
071857.50,3106.79429192,10345.46864319,0.002,8.9,090925,2.0,A,North,East,1757402337.0711935
071857.60,3106.79429239,10345.46864215,0.002,355.2,090925,2.0,A,North,East,1757402337.172439
071857.70,3106.79429292,10345.46864103,0.003,292.5,090925,2.0,A,North,East,1757402337.2730255
071857.80,3106.79429336,10345.46864001,0.002,312.0,090925,2.0,A,North,East,1757402337.370955
071857.90,3106.79429393,10345.46863909,0.002,307.6,090925,2.0,A,North,East,1757402337.4706173
071858.00,3106.79429452,10345.46863818,0.002,316.3,090925,2.0,A,North,East,1757402337.5720491
071858.10,3106.79429516,10345.46863748,0.003,309.3,090925,2.0,A,North,East,1757402337.6694853
071858.20,3106.79429581,10345.46863675,0.003,300.8,090925,2.0,A,North,East,1757402337.7709801
071858.30,3106.79429647,10345.46863602,0.004,294.4,090925,2.0,A,North,East,1757402337.869681
071858.40,3106.79429712,10345.46863532,0.003,299.8,090925,2.0,A,North,East,1757402337.968933
071858.50,3106.79429778,10345.46863463,0.003,309.2,090925,2.0,A,North,East,1757402338.067737
071858.60,3106.79429842,10345.46863394,0.003,307.9,090925,2.0,A,North,East,1757402338.1658154
071858.70,3106.79429907,10345.46863325,0.004,308.3,090925,2.0,A,North,East,1757402338.2635152
071858.80,3106.79429972,10345.46863257,0.005,312.3,090925,2.0,A,North,East,1757402338.3638515
071858.90,3106.79430035,10345.46863192,0.004,312.8,090925,2.0,A,North,East,1757402338.4689996
071859.00,3106.79430092,10345.46863133,0.002,327.7,090925,2.0,A,North,East,1757402338.565128
071859.10,3106.79430140,10345.46863083,0.002,338.2,090925,2.0,A,North,East,1757402338.663618
071859.20,3106.79430186,10345.46863035,0.002,340.4,090925,2.0,A,North,East,1757402338.7740707
071859.30,3106.79430230,10345.46862987,0.002,324.5,090925,2.0,A,North,East,1757402338.8731842
071859.40,3106.79430273,10345.46862941,0.002,321.7,090925,2.0,A,North,East,1757402338.9759488
071859.50,3106.79430315,10345.46862895,0.001,314.7,090925,2.0,A,North,East,1757402339.0737867
071859.60,3106.79430359,10345.46862852,0.002,359.9,090925,2.0,A,North,East,1757402339.1734614
071859.70,3106.79430404,10345.46862808,0.002,353.1,090925,2.0,A,North,East,1757402339.2718482
071859.80,3106.79430450,10345.46862759,0.002,350.3,090925,2.0,A,North,East,1757402339.3735113
071859.90,3106.79430496,10345.46862712,0.002,333.0,090925,2.0,A,North,East,1757402339.4735534
071900.00,3106.79430542,10345.46862664,0.002,338.0,090925,2.0,A,North,East,1757402339.5720718
071900.10,3106.79430597,10345.46862614,0.001,18.1,090925,2.0,A,North,East,1757402339.664769
071900.20,3106.79430652,10345.46862566,0.002,58.0,090925,2.0,A,North,East,1757402339.767516
071900.30,3106.79430688,10345.46862525,0.003,70.4,090925,2.0,A,North,East,1757402339.8722048
071900.40,3106.79430717,10345.46862496,0.003,62.6,090925,2.0,A,North,East,1757402339.9700146
071900.50,3106.79430748,10345.46862468,0.003,50.5,090925,2.0,A,North,East,1757402340.0687308
071900.60,3106.79430782,10345.46862436,0.003,21.9,090925,2.0,A,North,East,1757402340.1710181
071900.70,3106.79430818,10345.46862400,0.003,26.6,090925,2.0,A,North,East,1757402340.2731855
071900.80,3106.79430854,10345.46862364,0.003,11.7,090925,2.0,A,North,East,1757402340.37225
071900.90,3106.79430891,10345.46862325,0.003,359.3,090925,2.0,A,North,East,1757402340.47098
071901.00,3106.79430929,10345.46862284,0.003,350.6,090925,2.0,A,North,East,1757402340.5736837
071901.10,3106.79430966,10345.46862245,0.003,1.0,090925,2.0,A,North,East,1757402340.665315
