!CSV A.01.01
!Keysight Technologies,P9371B,MY61100600,A.19.30.21
!Date: Saturday, January 10, 2026 21:35:56
!Source: Standard

BEGIN CH1_DATA
Time(s),S21 Real(U)
0,2.0149193e-05
1.8e-09,-1.5558922e-05
3.6e-09,0.00027406082
5.4e-09,0.00091481907
7.2e-09,0.00032244279
9e-09,-0.0024039636
1.08e-08,-0.0040446073
1.26e-08,-0.00071782479
1.44e-08,0.0048999377
1.62e-08,0.0057514282
1.8e-08,0.00069638435
1.98e-08,-0.0037779999
2.16e-08,-0.0032562832
2.34e-08,-0.00042613241
2.52e-08,0.00081670901
2.7e-08,0.00047272362
2.88e-08,0.00016115778
3.06e-08,0.00015049038
3.24e-08,6.9010632e-05
3.42e-08,-2.5137255e-05
3.6e-08,-3.9114475e-05
3.78e-08,-4.4225955e-05
3.96e-08,-7.717259e-06
4.14e-08,0.00010166083
4.32e-08,0.00015887654
4.5e-08,7.0283328e-05
4.68e-08,-7.8882731e-05
4.86e-08,-0.00013473773
5.04e-08,-5.7081517e-05
5.22e-08,3.9969993e-05
5.4e-08,5.3738844e-05
5.58e-08,2.1090993e-05
5.76e-08,6.7647084e-06
5.94e-08,-8.6987939e-07
6.12e-08,-1.3233835e-05
6.3e-08,-1.0025956e-05
6.48e-08,-1.9996662e-06
6.66e-08,-7.3608344e-06
6.84e-08,-9.8795481e-06
7.02e-08,-4.058581e-06
7.2e-08,-4.8438856e-06
7.38e-08,-6.4022825e-06
7.56e-08,-3.8808702e-07
7.74e-08,9.8467638e-07
7.92e-08,-4.9691989e-06
8.1e-08,-6.7378178e-06
8.28e-08,-1.4951979e-06
8.46e-08,7.3886786e-06
8.64e-08,1.1810847e-05
8.82e-08,2.6881487e-06
9e-08,-7.337148e-06
9.18e-08,-1.0800425e-06
9.36e-08,7.3605243e-06
9.54e-08,2.924595e-06
9.72e-08,3.022495e-07
9.9e-08,5.5119108e-06
1.008e-07,3.7855518e-06
1.026e-07,-2.1689327e-06
1.044e-07,-1.4760182e-07
1.062e-07,3.3273946e-06
1.08e-07,2.2412125e-06
1.098e-07,1.6253925e-06
1.116e-07,-6.090894e-07
1.134e-07,-5.4148222e-06
1.152e-07,-4.2727306e-06
1.17e-07,1.0778839e-06
1.188e-07,2.1410749e-06
1.206e-07,1.4199454e-06
1.224e-07,-1.5652824e-07
1.242e-07,-6.7321298e-06
1.26e-07,-9.8873106e-06
1.278e-07,-2.1908238e-06
1.296e-07,4.7459016e-06
1.314e-07,2.4097753e-06
1.332e-07,-1.9521888e-06
1.35e-07,-3.1389768e-06
1.368e-07,-1.0071823e-06
1.386e-07,3.523618e-06
1.404e-07,2.8302588e-06
1.422e-07,-4.4111071e-06
1.44e-07,-4.0798732e-06
1.458e-07,6.431691e-06
1.476e-07,1.0232377e-05
1.494e-07,2.9417004e-06
1.512e-07,-2.6730347e-06
1.53e-07,-2.4047818e-06
1.548e-07,-1.0637571e-06
1.566e-07,5.000233e-07
1.584e-07,3.0357014e-06
1.602e-07,5.7790385e-06
1.62e-07,5.7098855e-06
1.638e-07,-1.4285501e-06
1.656e-07,-9.4733168e-06
1.674e-07,-6.0877505e-06
1.692e-07,2.5793379e-06
